harga,merek,model,varian,tahun,jarak_tempuh,tipe_bahan_bakar,warna,transmisi
150000000,Chevrolet,Spark,LT,2017,30.000-35.000 km,Bensin,Hitam,Automatic
195000000,Chevrolet,Captiva,Lain-lain,2014,70.000-75.000 km,Diesel,Putih,Automatic
85000000,Ford,Fiesta,Trend,2011,90.000-95.000 km,Bensin,Silver,Manual
18000000,Mitsubishi,Lancer,Lain-lain,1987,10.000-15.000 km,Bensin,Hitam,Manual
115000000,KIA,Rio,Hatchback,2013,80.000-85.000 km,Bensin,Merah,Manual
499000000,BMW,X1,sDrive18i xLine,2016,10.000-15.000 km,Bensin,Putih,Automatic Triptonic
185000000,Mazda,RX-8,Sport,2004,35.000-40.000 km,Bensin,Silver,Manual
195000000,BMW,Serie 3,330i,2003,80.000-85.000 km,Bensin,Biru,Automatic
112000000,Wuling,Confero S,S 1.5C LUX,2018,10.000-15.000 km,Bensin,Marun,Manual
45000000,Peugeot,406,Limited,2004,150.000-155.000 km,Bensin,Abu-abu,Automatic
525000001,Mercedes-Benz,GLA-Class,GLA200,2015,5.000-10.000 km,Bensin,Putih,Automatic
335000000,Toyota,Innova,V Diesel,2016,50.000-55.000 km,Diesel,Putih,Automatic
300000000,Mitsubishi,Pajero Sport,Dakar 2.4,2014,80.000-85.000 km,Diesel,Hitam,Automatic Triptonic
205000000,Mazda,Biante,2.0 SKYACTIV,2014,50.000-55.000 km,Bensin,Silver,Automatic Triptonic
159000000,Chevrolet,Captiva,Lain-lain,2011,125.000-130.000 km,Diesel,Coklat,Automatic
58000000,Datsun,Go,Panca T,2017,70.000-75.000 km,Bensin,Abu-abu,Manual
47250000,Audi,Audi A4,Lain-lain,1998,75.000-80.000 km,Bensin,Silver,Automatic
68000000,Nissan,Livina,Lain-lain,2010,140.000-145.000 km,Bensin,Abu-abu,Manual
85000000,Isuzu,Panther,LM,2006,>300.000 km,Diesel,Silver,Manual
